gene	display_name	functional_category	notes
aafA	aafA	Adhesion/Colonization	Major fimbrial subunit of aggregative adherence fimbria II AafA
aaiC	aaiC	Secretion system	Type VI secretion protein
aalE	aalE	Adhesion/Colonization	CS23 Major structural subunit
aap	aap	Adhesion/Colonization	"Dispersin, antiaggregation protein"
aap/aspU	aap	Adhesion/Colonization	Dispersin transporter protein
aatA	aatA	Adhesion/Colonization	Dispersin transporter protein
ace	ace	Adhesion/Colonization	collagen adhesin precursor
acm	acm		
ACME	ACME	Adhesion/Colonization	arginine catabolic mobile element
afaA	afaA	Adhesion/Colonization	Fimbrial major subunit AfaA
afaA-VIII	afaA	Adhesion/Colonization	Fimbrial major subunit AfaA
afaD	afaD	Adhesion/Colonization	Afimbrial adhesion
afaD	afaD	Adhesion/Colonization	Afimbrial adhesion
afaD-VII	afaD	Adhesion/Colonization	Afimbrial adhesion
afaD-VIII	afaD	Adhesion/Colonization	Afimbrial adhesion
afaE	afaE	Adhesion/Colonization	Afimbrial adhesin AfaE
afaE-I	afaE	Adhesion/Colonization	Afimbrial adhesin AfaE
afaE-II	afaE	Adhesion/Colonization	Afimbrial adhesin AfaE
afaE-III	afaE	Adhesion/Colonization	Afimbrial adhesin AfaE
afaE-V	afaE	Adhesion/Colonization	Afimbrial adhesin AfaE
afaE-VII	afaE	Adhesion/Colonization	Afimbrial adhesin AfaE
afaE-VIII	afaE	Adhesion/Colonization	Afimbrial adhesin AfaE
afaF-III	afaF	Adhesion/Colonization	Afimbrial adhesin AfaF
afaF-VII	afaF	Adhesion/Colonization	Afimbrial adhesin AfaF
afaG-VII	afaG	Adhesion/Colonization	Afimbrial adhesin AfaG
afpA	afpA	Adhesion/Colonization	"Major structural subunit of bundle-forming pilus, AFP fimbrial cluster"
afpA2	afpA2	Adhesion/Colonization	"major structural subunit of bundle-forming pilus, AFP fimbrial cluster"
afpB	afpB	Adhesion/Colonization	"membrane protein, AFP fimbrial cluster"
afpC	afpC	Adhesion/Colonization	"hypothetical protein, AFP fimbrial cluster"
