aac	Resistance to aminoglycoside antibiotics	"Gentamicin, Tobramycin, Dibekacin, Netilmicin"
aac(2')-Ia	Resistance to aminoglycoside antibiotics	"Gentamicin, Tobramycin, Dibekacin, Netilmicin"
aac(2')-Ib	Resistance to aminoglycoside antibiotics	"Gentamicin, Tobramycin, Dibekacin, Netilmicin"
aac(2')-Ic	Resistance to aminoglycoside antibiotics	"Gentamicin, Tobramycin, Dibekacin, Netilmicin"
aac(2')-Id	Resistance to aminoglycoside antibiotics	"Gentamicin, Tobramycin, Dibekacin, Netilmicin"
aac(2')-Ie	Resistance to aminoglycoside antibiotics	"Gentamicin, Tobramycin, Dibekacin, Netilmicin"
aac(2')-IIa	Resistance to aminoglycoside antibiotics	Kasugamycin
aac(3)-I	Resistance to aminoglycoside antibiotics	"Gentamicin, Astromicin, Fortimicin"
aac(3)-IIIa	Resistance to aminoglycoside antibiotics	"Gentamicin, Tobramycin, Dibekacin, Sisomicin"
aac(3)-IIIb	Resistance to aminoglycoside antibiotics	"Gentamicin, Tobramycin"
aac(3)-IIIc	Resistance to aminoglycoside antibiotics	"Gentamicin, Tobramycin, Dibekacin, Sisomicin"
aac(3)-IIa	Resistance to aminoglycoside antibiotics	"Apramycin, Gentamicin, Tobramycin, Dibekacin, Netilmicin, Sisomicin"
aac(3)-IIb	Resistance to aminoglycoside antibiotics	"Apramycin, Gentamicin, Tobramycin, Dibekacin, Netilmicin, Sisomicin"
aac(3)-IIc	Resistance to aminoglycoside antibiotics	"Apramycin, Gentamicin, Tobramycin, Dibekacin, Netilmicin, Sisomicin"
aac(3)-IId	Resistance to aminoglycoside antibiotics	"Apramycin, Gentamicin, Tobramycin, Dibekacin, Netilmicin, Sisomicin"
aac(3)-IIe	Resistance to aminoglycoside antibiotics	"Apramycin, Gentamicin, Tobramycin, Dibekacin, Netilmicin, Sisomicin"
aac(3)-IV	Resistance to aminoglycoside antibiotics	"Gentamicin, Tobramycin"
aac(3)-IVa	Resistance to aminoglycoside antibiotics	"Apramycin, Gentamicin, Dibekacin, Netilmicin, Sisomicin, Tobramycin"
aac(3)-IXa	Resistance to aminoglycoside antibiotics	"Gentamicin, Dibekacin, Kanamycin, Neomycin, Paromomycin, Amikacin, Arbekacin"
aac(3)-Ia	Resistance to aminoglycoside antibiotics	"Gentamicin, Astromicin, Fortimicin"
aac(3)-Ib	Resistance to aminoglycoside antibiotics	"Gentamicin, Astromicin, Fortimicin"
aac(3)-Ib-aac(6')-Ib	Resistance to aminoglycoside antibiotics	"Amikacin, Gentamicin, Tobramycin, Streptomycin"
aac(3)-Ic	Resistance to aminoglycoside antibiotics	"Gentamicin, Astromicin, Fortimicin"
aac(3)-Id	Resistance to aminoglycoside antibiotics	"Gentamicin, Astromicin, Fortimicin"
aac(3)-If	Resistance to aminoglycoside antibiotics	"Gentamicin, Astromicin, Fortimicin"
aac(3)-Ig	Resistance to aminoglycoside antibiotics	"Gentamicin, Astromicin, Fortimicin"
aac(3)-Ih	Resistance to aminoglycoside antibiotics	"Gentamicin, Astromicin, Fortimicin"
aac(3)-Ii	Resistance to aminoglycoside antibiotics	"Gentamicin, Astromicin, Fortimicin"
aac(3)-VIIIa	Resistance to aminoglycoside antibiotics	"Gentamicin, Dibekacin, Kanamycin, Neomycin, Paromomycin, Amikacin, Arbekacin"
aac(3)-VIIa	Resistance to aminoglycoside antibiotics	"Gentamicin, Dibekacin, Kanamycin, Neomycin, Paromomycin, Amikacin, Arbekacin"
aac(3)-VIa	Resistance to aminoglycoside antibiotics	Gentamicin
aac(3)-Xa	Resistance to aminoglycoside antibiotics	"Gentamicin, Dibekacin, Kanamycin, Neomycin, Paromomycin, Amikacin, Arbekacin"
aac(6')	Resistance to aminoglycoside antibiotics	"Amikacin, Gentamicin, Tobramycin, Streptomycin"
aac(6')-31	Resistance to aminoglycoside antibiotics	"Amikacin, Gentamicin, Tobramycin, Neomycin, Kanamycin, Netilmicin, Isepamicin, Sisomicin"
aac(6')-32	Resistance to aminoglycoside antibiotics	Tobramycin
