gene	display_name	functional_category	notes
CAA46156	AIDA-I	Adhesion/Colonization	AIDA-I type autotransporter protein
astA	astA (EAST-1)	Toxins	Heat-stable enterotoxin EAST-1
east1	astA (EAST-1)	Toxins	Heat-stable enterotoxin EAST-1
cnf1	cnf1	Toxins	Cytotoxic necrotizing factor 1
cnf2	cnf2	Toxins	Cytotoxic necrotizing factor 2
clpL	CS31A	Adhesion/Colonization	CS31A minor subunit
eae-a01-alpha1	eae	Adhesion/Colonization	Intimin
eae-a02-alpha2	eae	Adhesion/Colonization	Intimin
eae-a03-zeta	eae	Adhesion/Colonization	Intimin
eae-a04-zeta	eae	Adhesion/Colonization	Intimin
eae-a05a-nu	eae	Adhesion/Colonization	Intimin
eae-a05b-nu	eae	Adhesion/Colonization	Intimin
eae-a06-omicron	eae	Adhesion/Colonization	Intimin
eae-a07-tau	eae	Adhesion/Colonization	Intimin
eae-a08-alpha8	eae	Adhesion/Colonization	Intimin
eae-a09-alpha9	eae	Adhesion/Colonization	Intimin
eae-a10-alpha10	eae	Adhesion/Colonization	Intimin
eae-a11-alpha11	eae	Adhesion/Colonization	Intimin
eae-a12-alpha12	eae	Adhesion/Colonization	Intimin
eae-a13a-alpha13	eae	Adhesion/Colonization	Intimin
eae-a13b-alpha13	eae	Adhesion/Colonization	Intimin
eae-a14-alpha14	eae	Adhesion/Colonization	Intimin
eae-a15-alpha15	eae	Adhesion/Colonization	Intimin
eae-a16-alpha16	eae	Adhesion/Colonization	Intimin
eae-a17-alpha17	eae	Adhesion/Colonization	Intimin
eae-a18-alpha18	eae	Adhesion/Colonization	Intimin
eae-b01a-beta1a	eae	Adhesion/Colonization	Intimin
eae-b01b-beta1b	eae	Adhesion/Colonization	Intimin
eae-b02a-beta2a	eae	Adhesion/Colonization	Intimin
eae-b02b-beta2b	eae	Adhesion/Colonization	Intimin
eae-b03-beta3	eae	Adhesion/Colonization	Intimin
eae-b04-delta	eae	Adhesion/Colonization	Intimin
eae-b05-Citrobacter	eae	Adhesion/Colonization	Intimin
eae-b06-beta4	eae	Adhesion/Colonization	Intimin
